age,sex,education,income_family,n
56,Male,Less than high school diploma or its equivalent,"Less than $25,000",3
56,Male,"NA","$50,000 to $74,999",1
56,Male,Trade certificate or diploma,"$100,000 to $ 124,999",1
56,Male,Trade certificate or diploma,"$125,000 and more",3
56,Male,Trade certificate or diploma,"$25,000 to $49,999",2
56,Male,Trade certificate or diploma,"$75,000 to $99,999",1
56,Male,Trade certificate or diploma,"Less than $25,000",1
56,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",1
56,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
56,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",3
56,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
56,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
56,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
56,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",3
56,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
56,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
56,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
56,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
56,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
56,Female,Trade certificate or diploma,"$125,000 and more",1
56,Female,Trade certificate or diploma,"$25,000 to $49,999",1
56,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
56,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
56,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",1
56,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
56,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
56,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
56,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
56,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
56,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
56,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
56,Male,Trade certificate or diploma,"Less than $25,000",1
56,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",1
56,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",4
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
57,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",3
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Female,"NA","$50,000 to $74,999",1
57,Female,Trade certificate or diploma,"$100,000 to $ 124,999",1
57,Female,Trade certificate or diploma,"Less than $25,000",1
57,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
57,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
57,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",3
57,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
57,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
57,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
57,Male,"NA","$25,000 to $49,999",1
57,Male,Trade certificate or diploma,"$125,000 and more",2
57,Male,Trade certificate or diploma,"$25,000 to $49,999",1
57,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",4
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
57,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Female,"NA","$50,000 to $74,999",1
57,Female,Trade certificate or diploma,"$25,000 to $49,999",1
57,Female,Trade certificate or diploma,"$50,000 to $74,999",1
57,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
57,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
57,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
57,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Male,"NA","Less than $25,000",1
57,Male,Trade certificate or diploma,"$125,000 and more",3
57,Male,Trade certificate or diploma,"$75,000 to $99,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Female,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
57,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
57,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
57,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
57,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
57,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Male,Trade certificate or diploma,"$25,000 to $49,999",1
57,Male,Trade certificate or diploma,"$50,000 to $74,999",1
57,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
57,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",2
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
57,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
57,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
57,Female,"NA","Less than $25,000",1
57,Female,Trade certificate or diploma,"Less than $25,000",2
57,Female,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",1
57,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
57,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
57,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",2
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",4
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
57,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
57,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",3
57,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
57,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
57,Male,Trade certificate or diploma,"Less than $25,000",2
57,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",4
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
57,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
57,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",1
57,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
57,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
57,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
57,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Male,Less than high school diploma or its equivalent,"Less than $25,000",2
57,Male,"NA","$25,000 to $49,999",1
57,Male,Trade certificate or diploma,"$75,000 to $99,999",1
57,Male,Trade certificate or diploma,"Less than $25,000",1
57,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",1
57,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",2
57,Female,"NA","$75,000 to $99,999",1
57,Female,Trade certificate or diploma,"$125,000 and more",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",2
57,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
57,Male,Trade certificate or diploma,"$100,000 to $ 124,999",1
57,Male,Trade certificate or diploma,"$50,000 to $74,999",1
57,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",1
57,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Female,"NA","$100,000 to $ 124,999",1
57,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
57,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",2
57,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
57,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
57,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",3
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",3
57,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
57,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
57,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
57,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
57,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
57,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
57,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
57,Male,Less than high school diploma or its equivalent,"$125,000 and more",2
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
57,Male,Trade certificate or diploma,"$125,000 and more",1
57,Male,Trade certificate or diploma,"$25,000 to $49,999",1
57,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",1
57,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",3
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
57,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
57,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",4
57,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",5
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",2
57,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",2
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",4
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",4
57,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
57,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
57,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
57,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
57,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",4
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
57,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",2
57,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
57,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",6
57,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
57,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",3
57,Male,Trade certificate or diploma,"$125,000 and more",1
57,Male,Trade certificate or diploma,"Less than $25,000",2
57,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
57,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
57,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
57,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
57,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
57,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
57,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",2
57,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",3
57,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
57,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
57,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
57,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
57,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
57,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",5
57,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
57,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
57,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",2
57,Male,"NA","$125,000 and more",1
57,Male,Trade certificate or diploma,"$125,000 and more",1
57,Male,Trade certificate or diploma,"$50,000 to $74,999",1
57,Male,Trade certificate or diploma,"$75,000 to $99,999",2
57,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",1
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
58,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
58,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
58,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
58,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
58,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
58,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
58,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
58,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
58,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
58,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
58,Female,Trade certificate or diploma,"$125,000 and more",1
58,Female,Trade certificate or diploma,"$25,000 to $49,999",1
58,Female,Trade certificate or diploma,"$50,000 to $74,999",1
58,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
58,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",1
58,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",1
58,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
58,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
58,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
58,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
58,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",2
58,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
58,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
58,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
58,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
58,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",2
58,Male,Less than high school diploma or its equivalent,"Less than $25,000",2
58,Male,Trade certificate or diploma,"$100,000 to $ 124,999",1
58,Male,Trade certificate or diploma,"$125,000 and more",2
58,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
58,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",1
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
58,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
58,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",4
58,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
58,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
58,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
58,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",2
58,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
58,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
58,Female,Trade certificate or diploma,"$25,000 to $49,999",1
58,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
58,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
58,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
58,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
58,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
58,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
58,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
58,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
58,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
58,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
58,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",2
58,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
58,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
58,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
58,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
58,Male,Less than high school diploma or its equivalent,"Less than $25,000",2
58,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",1
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
58,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
