age,sex,education,income_family,n
18,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
18,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
18,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",3
18,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
18,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Male,Trade certificate or diploma,"$125,000 and more",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
18,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",3
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
18,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
18,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
18,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
18,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
18,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
18,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",2
18,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",2
18,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
18,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
18,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
18,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",3
18,Male,Less than high school diploma or its equivalent,"$125,000 and more",2
18,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
18,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",2
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
18,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
18,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",3
18,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
18,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",5
18,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
18,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",5
18,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
18,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",4
18,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
18,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
19,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
19,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
19,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
19,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
19,Female,Less than high school diploma or its equivalent,"Less than $25,000",2
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Male,"NA","$100,000 to $ 124,999",1
19,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
19,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
19,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
19,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",3
19,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",3
19,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",4
19,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
19,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
19,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",3
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
19,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
19,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",2
19,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",4
19,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Male,Less than high school diploma or its equivalent,"$125,000 and more",2
19,Male,Less than high school diploma or its equivalent,"Less than $25,000",2
19,Male,Trade certificate or diploma,"Less than $25,000",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
19,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",3
19,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
19,Male,Trade certificate or diploma,"Less than $25,000",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
19,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
19,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
19,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",4
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",3
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
19,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
19,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
19,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
19,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",3
19,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",3
19,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
19,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",6
19,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
19,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
19,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
19,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
19,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",2
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",2
19,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
19,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
19,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",4
19,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
19,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
19,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
